'spectrum not found1'
'2-amin-1-propanol (?)'
'spectrum not found2'
'mixed spectrum1'
'unknown1'
'spectrum not found3'
'unknown2'
'unknown3'
'unknown4'
'urea'
'glycerol'
'phosphate + (?)'
'glycerate'
'uracil'
'spectrum not found4'
'serine'
'unknown5'
'unknown6'
'mixed spectrum2'
'thymine'
'mixed spectrum3'
'mixed spectrum4'
'unknown7'
'unknown8'
'spectrum not specific'
'pantoate'
'acid with mass 247 and 259 (?)'
'nicotineamide'
'acetylamino acid'
'aspartate'
'4-aminobutanoate'
'unknown9'
'unknown mass 244 and 288'
'unknown11'
'2-hydroxyglutarate'
'unknown mass 140 and 189'
'unknown mass 217 and 191'
'sugar no oxim'
'unknown mass 173'
'pyrophosphate'
'N-acetylaspartate (?)'
'mixed spectrum5'
'unknown mass 228 and 94'
'unknown mass 129 and 306'
'spectrum not found5'
'ribulose or isomer'
'unknown mass 117 and 287'
'putrescine'
'orotate'
'sn-glycerol-3-phosphate'
'N-acetylglutamate'
'Hypoxanthine + unknown'
'citrate'
'altrose (or isomer)'
'spectrum not complete1'
'C6 sugar'
'keto-gluconate (?)'
'spectrum not complete2'
'spectrum not complete3'
'C18:2 fatty acid'
'C18:1 fatty acid1'
'C18:1 fatty acid2'
'C18:1 fatty acid3'
'spectrum not complete4'
'disaccharide1'
'C18:0 fatty acid'
'unknown18'
'disaccharide2'
"'unknown mass 304, 319 and 406'"
'spectrum not complete5'
'spectrum not complete6'
'adenosine'
'disaccharide3'
'disaccharide4'
'disaccharide5'
'disaccharide6'
'disaccharide7'
'disaccharide8'
'disaccharide9'
'sugar phosphate1'
'disaccharide10'
'disaccharide11'
'sugar phosphate2'
'sugar phosphate3'
'disaccharide12'
'sugar phosphate4'
'disaccharide13'
'disaccharide14'
'disaccharide15'
'disaccharide16'
'disaccharide17'
'spectrum not complete7'
'disaccharide18'
'disaccharide19'
'2-dAMP (?)'
'disaccharide20'
'spectrum not complete8'
'spectrum not complete9'
'spectrum not complete10'
"'1,2-dicarboxylate'"
"'2,3-dihydroxy-3-methylbutanoate'"
'2-hydroxybutanoate'
'3-phenyllactate or isomer'
'alfa-keto-butyrate'
'aminoadipic acid (?)'
'fumarate'
'guanine'
'isoleucine'
'malate'
'glycolate'
'pyruvate'
'threonine'
'xylose or isomeer'
'monomethylphosphate'
'AMP'
"'3,5-dihydroxypentanoate'"
'H2CO3'
'lactate'
'valine'
'N-acetylaspartate + beta-phenylpyruvate'
'organic acid with mass 261'
'unknown20'
'mixed spectrum6'
'unknown mass 268 and 194'
'unknown mass 160 and 245'
'unknown mass 318 and 420'
'unknown mass 298'
'unknown mass 304 and 406'
'spectrum not found6'
'spectrum not found7'
'alanine'
'ADP'
'ATP'
'NAD+'
'NADH'
'NADP+'
'NADPH'
'unknown26'
'CMP'
'unknown27'
'UMP'
'UDP-glucose'
'UDP-N-aceyl-glucosamine'
'GMP'
'IMP'
'ADP-glucose'
'UDP-glucuronate'
'CDP'
'UDP'
'UDP-acetylmuramate'
'unknown28'
'GDP'
'unknown29'
'UDP-N-AAGD'
'UDP-N-AAGDAA'
'unknown30'
'unknown31'
'unknown32'
'FBP'
'FAD'
'unknown33'
'FMN'
'unknown34'
'unknown35'
'CTP'
'UTP'
'GTP'
'unknown36'
'unknown37'
'CoA'
'acetyl CoA'
'unknown38'
'GtetraP'
'propionyl CoA'
'unknown39'
'phosphoenolpyruvate'
'glutamate'
'ketoglutarate'
'chorismate'
'phenylalanine'
'phenylpyruvate'
'shikimate'
'tyrosine'
'erythrose-4-phosphate'
'prephenate'
'tryptophan'
'3-dehydroquinate'
'shikimate-3-phosphate'
